ECG,IMP,Z0
-55.23577,-129226.16500,44.69600
-54.32026,-130355.41000,44.69600
-57.67713,-131368.83500,44.69600
-56.76162,-132932.40500,44.69600
-54.93060,-133887.92000,44.69600
-65.61155,-133743.14500,44.69600
-67.13740,-134611.79500,44.69600
-65.00121,-135075.07500,44.69600
-60.42366,-135885.81500,44.69600
-61.94951,-135190.89500,44.69600
-64.69604,-134467.02000,44.69600
-56.45645,-134119.56000,44.69600
-30.21183,-132787.63000,44.69600
20.44639,-130442.27500,44.69600
107.11467,-128415.42500,44.69600
213.61900,-126099.02500,44.69600
292.65803,-123058.75000,44.69600
334.16115,-118976.09500,44.69600
267.63409,-115848.95500,44.69600
108.94569,-113677.33000,44.69600
-32.65319,-112663.90500,44.69600
-123.89902,-111534.66000,44.69600
-149.22813,-111563.61500,44.69600
-150.14364,-111621.52500,44.69600
-142.51439,-110897.65000,44.69600
-130.61276,-110637.05500,44.69600
-115.65943,-110810.78500,44.69600
-101.62161,-111013.47000,44.69600
-95.21304,-110723.92000,44.69600
-84.83726,-110231.68500,44.69600
-86.97345,-110781.83000,44.69600
-87.88896,-111158.24500,44.69600
-84.53209,-111737.34500,44.69600
-76.29250,-111592.57000,44.69600
-79.03903,-111274.06500,44.69600
-80.56488,-111911.07500,44.69600
-82.70107,-111447.79500,44.69600
-83.61658,-110057.95500,44.69600
-85.14243,-108581.25000,44.69600
-86.05794,-105772.61500,44.69600
-83.92175,-103340.39500,44.69600
-80.56488,-100386.98500,44.69600
-87.27862,-99112.96500,44.69600
-90.63549,-97115.07000,44.69600
-89.71998,-95088.22000,44.69600
-86.66828,-91410.93500,44.69600
-90.94066,-87907.38000,44.69600
-92.16134,-84982.92500,44.69600
-87.27862,-80755.49500,44.69600
-84.53209,-76759.70500,44.69600
-85.44760,-71489.89500,44.69600
-88.49930,-67291.42000,44.69600
-89.10964,-61210.87000,44.69600
-80.56488,-54811.81500,44.69600
-78.12352,-48962.90500,44.69600
-79.64937,-40884.46000,44.59200
-74.46148,-31155.58000,44.59200
-67.13740,-22092.66500,44.59200
-68.66325,-11871.55000,44.59200
-59.20298,-4488.02500,44.59200
-50.65822,3300.87000,44.59200
-44.85999,11089.76500,44.59200
