LP;ECG;IMP;Z0
1;152.89017;-73053.46500;36.23600
2;135.19031;-74008.98000;36.23600
3;119.62664;-75746.28000;36.23600
4;117.79562;-76991.34500;36.23600
5;146.78677;-78468.05000;36.23600
6;170.28486;-79307.74500;36.23600
7;183.71234;-80408.03500;36.23600
8;193.47778;-81653.10000;36.23600
9;176.99860;-81421.46000;36.23600
10;141.59888;-82203.24500;36.23600
11;74.15631;-82203.24500;36.23600
12;26.24462;-83477.26500;36.23600
13;-0.91551;-82666.52500;36.23600
14;-18.00503;-82348.02000;36.23600
15;-46.69101;-81913.69500;36.23600
16;-31.43251;-81189.82000;36.23600
17;-39.06176;-79510.43000;36.23600
18;-47.30135;-78468.05000;36.23600
19;-32.34802;-76441.20000;36.23600
20;-20.14122;-74298.53000;36.23600
21;-29.60149;-71750.49000;36.23600
22;-33.56870;-70071.10000;36.23600
23;-29.60149;-68102.16000;36.23600
24;-21.36190;-65988.44500;36.23600
25;-24.10843;-64309.05500;36.23600
26;-28.38081;-62571.75500;36.23600
27;-24.41360;-60747.59000;36.23600
28;-21.97224;-58894.47000;36.23600
29;-18.31020;-55622.55500;36.23600
30;-16.47918;-53653.61500;36.23600
31;-11.29129;-50902.89000;36.23600
32;-13.73265;-46704.41500;36.23600
33;-25.63428;-42998.17500;36.23600
34;-27.46530;-38017.91500;36.23600
35;-25.63428;-32371.69000;36.23600
36;-28.07564;-26638.60000;36.23600
37;-25.63428;-21455.65500;36.23600
38;-1.52585;-14506.45500;36.23600
39;-0.91551;-7470.39000;36.23600
40;-25.93945;-1766.25500;36.24000
41;-38.45142;4024.74500;36.24000
42;-39.06176;9989.47500;36.24000
43;-38.75659;16620.17000;36.24000
44;-28.38081;22787.58500;36.24000
45;-28.99115;28433.81000;36.24000
46;-33.87387;34630.18000;36.24000
47;-41.80829;40363.27000;36.24000
48;-33.26353;45690.99000;36.24000
49;-14.95333;51308.26000;36.24000
50;-12.51197;56346.43000;36.24000
51;-28.07564;61413.55500;36.24000
52;-39.67210;65119.79500;36.24000
53;-28.07564;69260.36000;36.24000
54;-31.43251;72300.63500;36.24000
55;-35.39972;74964.49500;36.24000
56;-37.53591;77541.49000;36.24000
57;-26.54979;79394.61000;36.24000
58;-24.71877;80813.40500;36.24000
59;-26.24462;81711.01000;36.24000
60;-29.60149;82492.79500;36.24000
61;-38.45142;82666.52500;36.24000
62;-33.56870;81971.60500;36.24000
63;-16.47918;81247.73000;36.24000
64;3.96721;80668.63000;36.24000
65;-9.46027;79568.34000;36.24000
66;-22.88775;78525.96000;36.24000
67;-22.27741;76499.11000;36.24000
68;-5.18789;75225.09000;36.24000
69;5.79823;74153.75500;36.24000
70;14.34299;72706.00500;36.24000
71;29.60149;70302.74000;36.24000
72;18.00503;68739.17000;36.24000
73;11.90163;66683.36500;36.24000
74;7.93442;64801.29000;36.24000
75;12.51197;62108.47500;36.24000
76;16.47918;60400.13000;36.24000
77;22.58258;58604.92000;36.24000
78;27.46530;56172.70000;36.24000
79;30.51700;54001.07500;36.24000
80;37.84108;51916.31500;36.24000
81;35.09455;49628.87000;36.24000
82;19.53088;47312.47000;36.24000
83;5.79823;44851.29500;36.24000
84;7.62925;42361.16500;36.24000
85;16.17401;39871.03500;36.24000
86;19.22571;37351.95000;36.24000
87;29.29632;35962.11000;36.24000
88;27.46530;33819.44000;36.24000
89;27.16013;31503.04000;36.24000
90;16.17401;30171.11000;36.24000
91;10.07061;27275.61000;36.24000
92;5.18789;25335.62500;36.24000
93;6.71374;23395.64000;36.24000
94;10.98612;20876.55500;36.24000
95;22.27741;19168.21000;36.24000
96;25.63428;16996.58500;36.24000
97;25.32911;15461.97000;36.24000
98;6.10340;13174.52500;36.24000
99;1.52585;10771.26000;36.24000
100;-1.22068;9294.55500;36.24000
101;-1.22068;7846.80500;36.24000
102;-0.91551;6109.50500;36.24000
103;-0.91551;5356.67500;36.24000
104;3.96721;4488.02500;36.12800
105;10.07061;3358.78000;36.12800
106;7.01891;2576.99500;36.12800
107;7.32408;1418.79500;36.12800
108;20.14122;955.51500;36.12800
109;11.90163;-521.19000;36.12800
110;-3.96721;-1592.52500;36.12800
111;-15.86884;-3300.87000;36.12800
112;-8.84993;-4574.89000;36.12800
113;-0.91551;-6167.41500;36.12800
114;1.22068;-6601.74000;36.12800
115;2.44136;-7238.75000;36.12800
116;9.15510;-7875.76000;36.12800
117;12.81714;-7904.71500;36.12800
118;9.76544;-8165.31000;36.12800
119;12.81714;-8078.44500;36.12800
120;5.18789;-7759.94000;36.12800
121;3.96721;-8136.35500;36.12800
122;19.22571;-7759.94000;36.12800
123;1.22068;-7441.43500;36.12800
124;4.57755;-7817.85000;36.12800
125;8.23959;-7296.66000;36.12800
126;17.39469;-7528.30000;36.12800
127;26.85496;-7817.85000;36.12800
128;25.63428;-7933.67000;36.12800
129;16.47918;-7817.85000;36.12800
130;20.44639;-7557.25500;36.12800
131;23.80326;-7904.71500;36.12800
132;24.71877;-7209.79500;36.12800
133;19.83605;-6051.59500;36.12800
134;11.59646;-5791.00000;36.12800
135;17.08952;-5385.63000;36.12800
136;27.46530;-4632.80000;36.12800
137;16.78435;-4227.43000;36.12800
138;9.76544;-3214.00500;36.12800
139;10.37578;-3069.23000;36.12800
140;9.76544;-2634.90500;36.12800
141;15.25850;-3416.69000;36.12800
142;23.19292;-2374.31000;36.12800
143;26.54979;-1766.25500;36.12800
144;23.19292;-1476.70500;36.12800
145;6.71374;-1679.39000;36.12800
146;4.57755;-926.56000;36.12800
147;7.62925;-347.46000;36.12800
148;9.46027;-202.68500;36.12800
149;16.47918;-752.83000;36.12800
150;20.75156;463.28000;36.12800
151;3.66204;868.65000;36.12800
152;-1.52585;1245.06500;36.12800
153;7.62925;694.92000;36.12800
154;16.78435;579.10000;36.12800
155;18.92054;173.73000;36.12800
156;26.85496;115.82000;36.12800
157;26.24462;-318.50500;36.12800
158;19.83605;-723.87500;36.12800
159;10.98612;-434.32500;36.12800
160;5.79823;-1360.88500;36.12800
161;0.91551;-1795.21000;36.12800
162;-5.18789;-2287.44500;36.12800
163;-0.91551;-2663.86000;36.12800
164;17.69986;-3358.78000;36.12800
165;12.81714;-3387.73500;36.12800
166;3.66204;-4690.71000;36.12800
167;-3.66204;-5385.63000;36.12800
168;-1.22068;-6862.33500;36.15200
169;-1.22068;-8107.40000;36.15200
170;6.10340;-9642.01500;36.15200
171;3.66204;-11668.86500;36.15200
172;-5.49306;-13493.03000;36.15200
173;-8.84993;-15201.37500;36.15200
174;-5.79823;-17575.68500;36.15200
175;-2.44136;-19892.08500;36.15200
176;-7.62925;-21832.07000;36.15200
177;5.18789;-23801.01000;36.15200
178;17.39469;-25480.40000;36.15200
179;29.90666;-27159.79000;36.15200
180;41.80829;-28375.90000;36.15200
181;50.35305;-28955.00000;36.15200
182;61.64434;-30460.66000;36.15200
183;89.71998;-32400.64500;36.15200
184;119.93181;-33761.53000;36.15200
185;123.89902;-34861.82000;36.15200
186;108.94569;-36801.80500;36.15200
187;97.95957;-38741.79000;36.15200
188;133.05412;-40363.27000;36.15200
189;166.62282;-41608.33500;36.15200
190;179.74513;-42998.17500;36.15200
191;194.39329;-44388.01500;36.15200
192;182.49166;-45662.03500;36.15200
193;166.31765;-46443.82000;36.15200
194;132.74895;-46907.10000;36.15200
195;69.57876;-48210.07500;36.15200
196;16.78435;-48847.08500;36.15200
197;-19.22571;-49194.54500;36.15200
198;-37.84108;-49368.27500;36.15200
199;-41.50312;-49657.82500;36.15200
200;-36.92557;-49397.23000;36.15200
201;-20.75156;-48702.31000;36.15200
202;-4.88272;-48267.98500;36.15200
203;-17.69986;-46791.28000;36.15200
204;-34.48421;-45662.03500;36.15200
205;-39.06176;-44532.79000;36.15200
206;-35.39972;-42476.98500;36.15200
207;-36.92557;-40479.09000;36.15200
208;-31.73768;-38799.70000;36.15200
209;-28.68598;-36859.71500;36.15200
210;-31.43251;-35875.24500;36.15200
211;-36.31523;-34746.00000;36.15200
212;-33.56870;-33500.93500;36.15200
213;-30.82217;-32719.15000;36.15200
214;-18.92054;-30634.39000;36.15200
215;-19.22571;-28260.08000;36.15200
216;-34.17904;-25885.77000;36.15200
217;-48.21686;-22845.49500;36.15200
218;-43.63931;-19486.71500;36.15200
219;-37.84108;-15027.64500;36.15200
220;-23.80326;-10221.11500;36.15200
221;-5.49306;-5848.91000;36.15200
222;-8.23959;550.14500;36.15200
223;-24.41360;6138.46000;36.15200
224;-35.70489;11495.13500;36.15200
225;-46.38584;16301.66500;36.15200
226;-46.99618;21455.65500;36.15200
227;-42.11346;25856.81500;36.15200
228;-39.36693;30431.70500;36.15200
229;-39.67210;35267.19000;36.15200
230;-32.34802;39784.17000;36.15200
231;-34.48421;43664.14000;36.15200
232;-28.99115;47109.78500;36.18000
233;-21.97224;51018.71000;36.18000
234;-28.07564;54782.86000;36.18000
235;-36.31523;58373.28000;36.18000
236;-39.06176;60979.23000;36.18000
237;-32.65319;64019.50500;36.18000
238;-31.73768;66104.26500;36.18000
239;-38.14625;68102.16000;36.18000
240;-41.19795;69781.55000;36.18000
241;-28.07564;72242.72500;36.18000
242;-34.48421;72966.60000;36.18000
243;-44.85999;74356.44000;36.18000
244;-39.67210;74645.99000;36.18000
245;-29.90666;75514.64000;36.18000
246;-22.58258;75427.77500;36.18000
247;-24.71877;75862.10000;36.18000
248;-26.85496;76470.15500;36.18000
249;-23.80326;75920.01000;36.18000
250;-15.56367;76267.47000;36.18000
251;-11.90163;76499.11000;36.18000
252;-7.62925;76093.74000;36.18000
253;-4.27238;75485.68500;36.18000
254;-3.05170;74588.08000;36.18000
255;5.18789;73661.52000;36.18000
256;28.07564;71779.44500;36.18000
257;16.78435;70997.66000;36.18000
258;2.44136;68970.81000;36.18000
259;-5.49306;66828.14000;36.18000
260;3.66204;64540.69500;36.18000
261;22.88775;62079.52000;36.18000
262;31.12734;60515.95000;36.18000
263;10.68095;58199.55000;36.18000
264;-2.44136;54985.54500;36.18000
265;4.27238;52929.74000;36.18000
266;19.53088;50613.34000;36.18000
267;26.85496;48586.49000;36.18000
268;22.27741;46009.49500;36.18000
269;7.01891;43374.59000;36.18000
270;3.96721;40855.50500;36.18000
271;0.00000;39581.48500;36.18000
272;4.88272;37062.40000;36.18000
273;22.88775;35846.29000;36.18000
274;28.99115;34282.72000;36.18000
275;12.51197;32979.74500;36.18000
276;-1.22068;32400.64500;36.18000
277;-5.79823;31734.68000;36.18000
278;-3.96721;30663.34500;36.18000
279;-6.10340;30229.02000;36.18000
280;8.23959;29649.92000;36.18000
281;21.97224;29273.50500;36.18000
282;16.47918;28868.13500;36.18000
283;1.52585;28115.30500;36.18000
284;-7.01891;27594.11500;36.18000
285;-4.27238;27449.34000;36.18000
286;-3.35687;26841.28500;36.18000
287;-3.66204;26783.37500;36.18000
288;11.29129;26088.45500;36.18000
289;18.00503;26204.27500;36.18000
290;2.74653;26059.50000;36.18000
291;-7.62925;25306.67000;36.18000
292;-10.07061;24727.57000;36.18000
293;-7.93442;24293.24500;36.18000
294;-6.40857;23598.32500;36.18000
295;-5.79823;23540.41500;36.18000
296;13.42748;22758.63000;36.09200
297;19.83605;22584.90000;36.09200
298;8.84993;21918.93500;36.09200
299;-7.62925;21426.70000;36.09200
300;-15.25850;20847.60000;36.09200
301;-1.83102;20036.86000;36.09200
302;6.71374;20123.72500;36.09200
303;12.20680;18907.61500;36.09200
304;3.35687;18328.51500;36.09200
305;-0.61034;17604.64000;36.09200
306;1.83102;16591.21500;36.09200
307;-15.25850;15519.88000;36.09200
308;0.00000;13927.35500;36.09200
309;17.08952;12537.51500;36.09200
310;14.95333;11639.91000;36.09200
311;7.93442;10539.62000;36.09200
312;3.96721;9005.00500;36.09200
313;6.71374;7788.89500;36.09200
314;5.79823;6022.64000;36.09200
315;15.56367;3851.01500;36.09200
316;27.77047;2316.40000;36.09200
317;24.10843;984.47000;36.09200
318;15.56367;-1708.34500;36.09200
319;9.46027;-2866.54500;36.09200
320;10.68095;-5240.85500;36.09200
321;25.32911;-6920.24500;36.09200
322;27.46530;-9873.65500;36.09200
323;21.36190;-12103.19000;36.09200
324;10.07061;-14448.54500;36.09200
325;9.15510;-17401.95500;36.09200
326;3.05170;-19457.76000;36.09200
327;0.91551;-21281.92500;36.09200
328;6.71374;-23598.32500;36.09200
329;27.77047;-25306.67000;36.09200
330;44.85999;-27015.01500;36.09200
331;21.97224;-29939.47000;36.09200
332;8.23959;-31647.81500;36.09200
333;-2.44136;-34369.58500;36.09200
334;-0.30517;-36714.94000;36.09200
335;3.35687;-38654.92500;36.09200
336;7.01891;-40450.13500;36.09200
337;25.63428;-41868.93000;36.09200
338;27.77047;-43200.86000;36.09200
339;14.34299;-43490.41000;36.09200
340;10.07061;-46443.82000;36.09200
341;10.98612;-47775.75000;36.09200
342;5.18789;-47573.06500;36.09200
343;4.27238;-50381.70000;36.09200
344;6.10340;-50092.15000;36.09200
345;11.59646;-51626.76500;36.09200
346;6.40857;-52205.86500;36.09200
347;3.96721;-53508.84000;36.09200
348;12.51197;-55477.78000;36.09200
349;4.57755;-56578.07000;36.09200
350;0.00000;-59849.98500;36.09200
351;-10.07061;-61645.19500;36.09200
352;-16.17401;-63469.36000;36.09200
353;-10.07061;-65612.03000;36.09200
354;-4.88272;-69376.18000;36.09200
355;-8.23959;-71953.17500;36.09200
356;1.52585;-75109.27000;36.09200
357;6.40857;-78033.72500;36.09200
358;-8.23959;-80552.81000;36.09200
359;-18.00503;-83622.04000;36.09200
360;-12.51197;-86459.63000;36.13200
361;3.66204;-88804.98500;36.13200
362;21.05673;-91179.29500;36.13200
363;40.28244;-93061.37000;36.13200
364;54.93060;-95059.26500;36.13200
365;66.52706;-96420.15000;36.13200
366;93.38202;-99344.60500;36.13200
367;101.01127;-103166.66500;36.13200
368;128.78174;-105338.29000;36.13200
369;138.85235;-108841.84500;36.13200
370;120.23698;-110376.46000;36.13200
371;115.35426;-113648.37500;36.13200
372;149.22813;-116601.78500;36.13200
373;174.25207;-117875.80500;36.13200
374;166.92799;-120568.62000;36.13200
375;163.26595;-122595.47000;36.13200
376;165.70731;-123579.94000;36.13200
377;167.23316;-124419.63500;36.13200
378;142.51439;-126388.57500;36.13200
379;87.58379;-127112.45000;36.13200
380;25.93945;-129023.48000;36.13200
381;-12.20680;-129747.35500;36.13200
382;-37.23074;-130587.05000;36.13200
383;-39.97727;-131745.25000;36.13200
384;-31.73768;-131484.65500;36.13200
385;-16.17401;-130644.96000;36.13200
386;-32.95836;-130789.73500;36.13200
387;-32.95836;-129544.67000;36.13200
388;-25.32911;-128965.57000;36.13200
389;-29.29632;-126243.80000;36.13200
390;-45.16516;-124853.96000;36.13200
391;-43.94448;-123724.71500;36.13200
392;-40.58761;-122132.19000;36.13200
393;-36.62040;-121437.27000;36.13200
394;-34.78938;-120916.08000;36.13200
395;-30.82217;-120221.16000;36.13200
396;-22.27741;-119468.33000;36.13200
397;-26.85496;-118657.59000;36.13200
398;-31.12734;-118165.35500;36.13200
399;-17.39469;-116225.37000;36.13200
400;-20.44639;-114661.80000;36.13200
401;-31.73768;-112026.89500;36.13200
402;-40.58761;-108349.61000;36.13200
403;-41.19795;-104903.96500;36.13200
404;-16.78435;-100097.43500;36.13200
405;-12.81714;-95175.08500;36.13200
406;-30.82217;-90397.51000;36.13200
407;-49.74271;-85185.61000;36.13200
408;-47.30135;-79771.02500;36.13200
409;-35.39972;-74501.21500;36.13200
410;-32.65319;-68420.66500;36.13200
411;-28.68598;-64309.05500;36.13200
412;-34.78938;-59212.97500;36.13200
413;-34.48421;-53624.66000;36.13200
414;-41.80829;-49165.59000;36.13200
415;-46.08067;-45401.44000;36.13200
416;-32.95836;-41550.42500;36.13200
417;-26.24462;-37525.68000;36.13200
418;-37.84108;-33471.98000;36.13200
419;-39.36693;-29997.38000;36.13200
420;-33.26353;-26378.00500;36.13200
421;-16.17401;-23337.73000;36.13200
422;-24.10843;-19921.04000;36.13200
423;-49.43754;-17720.46000;36.13200
424;-54.93060;-15867.34000;36.25600
425;-56.15128;-14390.63500;36.25600
426;-44.55482;-13550.94000;36.25600
427;-34.78938;-13029.75000;36.25600
428;-35.70489;-12537.51500;36.25600
429;-32.65319;-12334.83000;36.25600
430;-30.51700;-12363.78500;36.25600
431;-31.43251;-12566.47000;36.25600
432;-27.16013;-13521.98500;36.25600
433;-17.39469;-14274.81500;36.25600
434;-3.35687;-15056.60000;36.25600
435;7.62925;-16504.35000;36.25600
436;-9.46027;-17807.32500;36.25600
437;-23.19292;-19689.40000;36.25600
438;-15.25850;-21658.34000;36.25600
439;-9.15510;-24061.60500;36.25600
440;22.88775;-26088.45500;36.25600
441;43.63931;-28462.76500;36.25600
442;28.38081;-30576.48000;36.25600
443;-6.10340;-33008.70000;36.25600
444;-24.71877;-35962.11000;36.25600
445;-10.68095;-38336.42000;36.25600
446;-0.30517;-41926.84000;36.25600
447;7.93442;-45864.72000;36.25600
448;11.90163;-48412.76000;36.25600
449;22.88775;-51655.72000;36.25600
450;24.71877;-55304.05000;36.25600
451;25.32911;-58981.33500;36.25600
452;19.22571;-61210.87000;36.25600
453;14.03782;-64801.29000;36.25600
454;-1.83102;-67957.38500;36.25600
455;-5.49306;-71837.35500;36.25600
456;10.37578;-73516.74500;36.25600
